v2	Ix(U1:DRAIN)	Ix(U5:VDD)	Ix(U6:VDD)	Ix(U7:VDD)	Ix(U8:VDD)	Ix(U9:VDD)
9.100000000000006e-001	1.225385e-006	-5.439854e-006	-1.225372e-006	-1.452759e-005	-3.320592e-005	-6.963356e-005
9.200000000000006e-001	1.358185e-006	-5.913078e-006	-1.358169e-006	-1.558781e-005	-3.533509e-005	-7.371818e-005
9.300000000000006e-001	1.500419e-006	-6.407131e-006	-1.500399e-006	-1.668385e-005	-3.752587e-005	-7.790959e-005
9.400000000000006e-001	1.652298e-006	-6.921812e-006	-1.652273e-006	-1.781532e-005	-3.977772e-005	-8.220646e-005
9.500000000000006e-001	1.814011e-006	-7.456913e-006	-1.813981e-006	-1.898182e-005	-4.209011e-005	-8.660746e-005
9.600000000000006e-001	1.985728e-006	-8.012229e-006	-1.985692e-006	-2.018299e-005	-4.446251e-005	-9.111121e-005
9.700000000000006e-001	2.167599e-006	-8.587556e-006	-2.167556e-006	-2.141846e-005	-4.689441e-005	-9.571632e-005
9.800000000000007e-001	2.359756e-006	-9.182693e-006	-2.359707e-006	-2.268788e-005	-4.938529e-005	-1.004214e-004
9.900000000000007e-001	2.562314e-006	-9.797444e-006	-2.562257e-006	-2.399093e-005	-5.193464e-005	-1.052249e-004
1.000000000000001e+000	2.775372e-006	-1.043162e-005	-2.775307e-006	-2.532727e-005	-5.454195e-005	-1.101255e-004
1.010000000000001e+000	2.999014e-006	-1.108502e-005	-2.998940e-006	-2.669660e-005	-5.720671e-005	-1.151217e-004
1.020000000000001e+000	3.233311e-006	-1.175747e-005	-3.233227e-006	-2.809861e-005	-5.992838e-005	-1.202120e-004
1.030000000000001e+000	3.478320e-006	-1.244879e-005	-3.478227e-006	-2.953301e-005	-6.270644e-005	-1.253948e-004
1.040000000000001e+000	3.734089e-006	-1.315881e-005	-3.733985e-006	-3.099954e-005	-6.554034e-005	-1.306689e-004
1.050000000000001e+000	4.000654e-006	-1.388735e-005	-4.000539e-006	-3.249792e-005	-6.842955e-005	-1.360325e-004
1.060000000000001e+000	4.278043e-006	-1.463424e-005	-4.277917e-006	-3.402790e-005	-7.137351e-005	-1.414844e-004
1.070000000000001e+000	4.566275e-006	-1.539934e-005	-4.566136e-006	-3.558922e-005	-7.437164e-005	-1.470229e-004
1.080000000000001e+000	4.865359e-006	-1.618246e-005	-4.865208e-006	-3.718165e-005	-7.742338e-005	-1.526466e-004
1.090000000000001e+000	5.175302e-006	-1.698348e-005	-5.175137e-006	-3.880493e-005	-8.052817e-005	-1.583540e-004
1.100000000000001e+000	5.496099e-006	-1.780223e-005	-5.495921e-006	-4.045886e-005	-8.368540e-005	-1.641437e-004
1.110000000000001e+000	5.827743e-006	-1.863857e-005	-5.827551e-006	-4.214319e-005	-8.689449e-005	-1.700142e-004
1.120000000000001e+000	6.170221e-006	-1.949236e-005	-6.170014e-006	-4.385771e-005	-9.015485e-005	-1.759641e-004
1.130000000000001e+000	6.523513e-006	-2.036347e-005	-6.523291e-006	-4.560219e-005	-9.346586e-005	-1.819920e-004
1.140000000000001e+000	6.887597e-006	-2.125177e-005	-6.887360e-006	-4.737642e-005	-9.682694e-005	-1.880964e-004
1.150000000000001e+000	7.262446e-006	-2.215712e-005	-7.262193e-006	-4.918017e-005	-1.002375e-004	-1.942760e-004
1.160000000000001e+000	7.648028e-006	-2.307942e-005	-7.647761e-006	-5.101322e-005	-1.036968e-004	-2.005295e-004
1.170000000000001e+000	8.044311e-006	-2.401853e-005	-8.044028e-006	-5.287537e-005	-1.072044e-004	-2.068553e-004
1.180000000000001e+000	8.451258e-006	-2.497435e-005	-8.450957e-006	-5.476639e-005	-1.107596e-004	-2.132523e-004
1.190000000000001e+000	8.868828e-006	-2.594677e-005	-8.868512e-006	-5.668607e-005	-1.143618e-004	-2.197191e-004
1.200000000000001e+000	9.296979e-006	-2.693568e-005	-9.296647e-006	-5.863418e-005	-1.180105e-004	-2.262544e-004
1.210000000000001e+000	9.735668e-006	-2.794099e-005	-9.735320e-006	-6.061051e-005	-1.217049e-004	-2.328569e-004
1.220000000000001e+000	1.018485e-005	-2.896258e-005	-1.018448e-005	-6.261483e-005	-1.254444e-004	-2.395254e-004
1.230000000000001e+000	1.064447e-005	-3.000037e-005	-1.064409e-005	-6.464693e-005	-1.292286e-004	-2.462586e-004
1.240000000000001e+000	1.111450e-005	-3.105426e-005	-1.111410e-005	-6.670657e-005	-1.330567e-004	-2.530553e-004
1.250000000000001e+000	1.159487e-005	-3.212416e-005	-1.159445e-005	-6.879352e-005	-1.369281e-004	-2.599143e-004
1.260000000000001e+000	1.208553e-005	-3.320998e-005	-1.208510e-005	-7.090757e-005	-1.408424e-004	-2.668344e-004
1.270000000000001e+000	1.258644e-005	-3.431164e-005	-1.258600e-005	-7.304848e-005	-1.447988e-004	-2.738145e-004
1.280000000000001e+000	1.309754e-005	-3.542905e-005	-1.309708e-005	-7.521602e-005	-1.487968e-004	-2.808534e-004
1.290000000000001e+000	1.361879e-005	-3.656213e-005	-1.361831e-005	-7.740995e-005	-1.528357e-004	-2.879500e-004
1.300000000000001e+000	1.415012e-005	-3.771079e-005	-1.414963e-005	-7.963005e-005	-1.569152e-004	-2.951033e-004
1.310000000000001e+000	1.469150e-005	-3.887495e-005	-1.469099e-005	-8.187608e-005	-1.610344e-004	-3.023120e-004
1.320000000000001e+000	1.524285e-005	-4.005453e-005	-1.524233e-005	-8.414780e-005	-1.651929e-004	-3.095752e-004
