v2	Ix(U1:DRAIN)	Ix(U5:VDD)	Ix(U6:VDD)	Ix(U7:VDD)	Ix(U8:VDD)	Ix(U9:VDD)
8.600000000000005e-001	3.026323e-007	-8.093745e-007	-3.026158e-007	-1.856672e-006	-4.024766e-006	-8.418576e-006
8.700000000000006e-001	3.341496e-007	-8.874637e-007	-3.341326e-007	-2.025582e-006	-4.373732e-006	-9.118293e-006
8.800000000000006e-001	3.676576e-007	-9.697669e-007	-3.676402e-007	-2.202850e-006	-4.738838e-006	-9.848163e-006
8.900000000000006e-001	4.031837e-007	-1.056304e-006	-4.031658e-007	-2.388491e-006	-5.120064e-006	-1.060802e-005
9.000000000000006e-001	4.407525e-007	-1.147091e-006	-4.407341e-007	-2.582521e-006	-5.517378e-006	-1.139769e-005
9.100000000000006e-001	4.803863e-007	-1.242144e-006	-4.803674e-007	-2.784948e-006	-5.930737e-006	-1.221698e-005
9.200000000000006e-001	5.221050e-007	-1.341474e-006	-5.220856e-007	-2.995776e-006	-6.360091e-006	-1.306569e-005
9.300000000000006e-001	5.659266e-007	-1.445094e-006	-5.659066e-007	-3.215004e-006	-6.805380e-006	-1.394364e-005
9.400000000000006e-001	6.118672e-007	-1.553011e-006	-6.118466e-007	-3.442629e-006	-7.266537e-006	-1.485061e-005
9.500000000000006e-001	6.599412e-007	-1.665234e-006	-6.599200e-007	-3.678644e-006	-7.743492e-006	-1.578640e-005
9.600000000000006e-001	7.101618e-007	-1.781769e-006	-7.101400e-007	-3.923039e-006	-8.236166e-006	-1.675080e-005
9.700000000000006e-001	7.625407e-007	-1.902621e-006	-7.625182e-007	-4.175799e-006	-8.744480e-006	-1.774361e-005
9.800000000000007e-001	8.170883e-007	-2.027794e-006	-8.170651e-007	-4.436909e-006	-9.268348e-006	-1.876462e-005
9.900000000000007e-001	8.738141e-007	-2.157291e-006	-8.737903e-007	-4.706348e-006	-9.807683e-006	-1.981362e-005
1.000000000000001e+000	9.327267e-007	-2.291114e-006	-9.327021e-007	-4.984095e-006	-1.036239e-005	-2.089041e-005
1.010000000000001e+000	9.938334e-007	-2.429261e-006	-9.938079e-007	-5.270126e-006	-1.093239e-005	-2.199477e-005
1.020000000000001e+000	1.057141e-006	-2.571735e-006	-1.057115e-006	-5.564414e-006	-1.151759e-005	-2.312651e-005
1.030000000000001e+000	1.122656e-006	-2.718531e-006	-1.122629e-006	-5.866931e-006	-1.211788e-005	-2.428541e-005
1.040000000000001e+000	1.190383e-006	-2.869648e-006	-1.190355e-006	-6.177645e-006	-1.273318e-005	-2.547125e-005
1.050000000000001e+000	1.260326e-006	-3.025083e-006	-1.260298e-006	-6.496527e-006	-1.336339e-005	-2.668384e-005
1.060000000000001e+000	1.332491e-006	-3.184829e-006	-1.332462e-006	-6.823539e-006	-1.400843e-005	-2.792295e-005
1.070000000000001e+000	1.406881e-006	-3.348883e-006	-1.406850e-006	-7.158650e-006	-1.466818e-005	-2.918837e-005
1.080000000000001e+000	1.483497e-006	-3.517238e-006	-1.483466e-006	-7.501820e-006	-1.534257e-005	-3.047990e-005
1.090000000000001e+000	1.562344e-006	-3.689885e-006	-1.562312e-006	-7.853014e-006	-1.603150e-005	-3.179730e-005
1.100000000000001e+000	1.643423e-006	-3.866819e-006	-1.643390e-006	-8.212191e-006	-1.673487e-005	-3.314036e-005
1.110000000000001e+000	1.726736e-006	-4.048028e-006	-1.726702e-006	-8.579314e-006	-1.745260e-005	-3.450888e-005
1.120000000000001e+000	1.812284e-006	-4.233504e-006	-1.812248e-006	-8.954341e-006	-1.818458e-005	-3.590261e-005
1.130000000000001e+000	1.900067e-006	-4.423236e-006	-1.900031e-006	-9.337233e-006	-1.893073e-005	-3.732135e-005
1.140000000000001e+000	1.990087e-006	-4.617212e-006	-1.990050e-006	-9.727946e-006	-1.969096e-005	-3.876486e-005
1.150000000000001e+000	2.082344e-006	-4.815422e-006	-2.082305e-006	-1.012644e-005	-2.046517e-005	-4.023293e-005
1.160000000000001e+000	2.176836e-006	-5.017854e-006	-2.176797e-006	-1.053268e-005	-2.125327e-005	-4.172532e-005
1.170000000000001e+000	2.273565e-006	-5.224493e-006	-2.273524e-006	-1.094661e-005	-2.205518e-005	-4.324183e-005
1.180000000000001e+000	2.372528e-006	-5.435326e-006	-2.372487e-006	-1.136820e-005	-2.287079e-005	-4.478221e-005
1.190000000000001e+000	2.473726e-006	-5.650340e-006	-2.473683e-006	-1.179740e-005	-2.370002e-005	-4.634623e-005
